BioVGO;Treactor;Rendnafta
100;534;61.62
100;536;60.94
100;538;60.15
100;540;59.23
100;542;58.15
100;544;56.91
100;546;55.48
100;548;53.83
100;550;51.95
100;552;49.81
100;554;47.4
100;556;44.69
100;558;41.67
100;560;38.34
100;562;34.69
100;564;30.72
100;566;26.46
100;568;21.93
100;570;17.18
