State;FCC-100 - Weight % Zeolite (A/F-3);FCC-100 - Weight % Alumina (A/F-3);FCC-100 - Weight % Rare Earth (A/F-3);FCC-100 - Yield, Std Cut Detailed (H2S-Mass Flow);FCC-100 - Yield, Std Cut Detailed (Coke-Mass Flow);FCC-100 - Yield, Std Cut Grouped (Fuel Gas-Mass Flow);FCC-100 - Yield, Std Cut Grouped (Naphtha C5-430F-Mass Flow);FCC-100 - Yield, Std Cut Grouped (LCO 430-650F-Mass Flow);FCC-100 - Regen Coke on Regen Catalyst (Regenerator);FCC-100 - Regen Coke on Spent Cat (Regenerator)
;;;;kg/h;kg/h;kg/h;kg/h;kg/h;%;%
Case 563;31.33;41.67;2.706;2662;1.08e+004;9302;8,28E+07;2,13E+07;0.05655;0.6541
Case 564;31.33;41.67;4.033;2661;1.08e+004;9139;8,38E+07;2.13e+004;0.05638;0.6548
Case 565;31.33;41.67;5.361;2659;1.08e+004;8977;8,48E+07;2,13E+07;0.0562;0.6555
Case 566;31.33;41.67;6.689;2658;1.08e+004;8814;8,58E+07;2,14E+07;0.05603;0.6563
Case 567;31.33;41.67;8.017;2657;1.08e+004;8653;8,68E+07;2,14E+07;0.05584;0.6571
Case 568;31.33;41.67;9.344;2656;1.08e+004;8491;8,78E+07;2,14E+07;0.05566;0.6578
Case 569;31.33;41.67;10.67;2655;1.08e+004;8330;8,88E+07;2,14E+07;0.05547;0.6586
Case 570;31.33;41.67;12;2653;1.08e+004;8170;8,98E+07;2,15E+07;0.05529;0.6594
Case 571;31.33;44.44;0.05;2669;1.08e+004;9630;8,07E+07;2,12E+07;0.05726;0.6515
Case 572;31.33;44.44;1.378;2668;1.08e+004;9466;8.17e+004;2,12E+07;0.0571;0.6521
Case 573;31.33;44.44;2.706;2667;1.08e+004;9303;8,27E+07;2,13E+07;0.05694;0.6528
Case 574;31.33;44.44;4.033;2666;1.08e+004;9140;8,37E+07;2.13e+004;0.05676;0.6535
Case 575;31.33;44.44;5.361;2665;1.08e+004;8977;8,47E+07;2,13E+07;0.05659;0.6543
Case 576;31.33;44.44;6.689;2663;1.08e+004;8815;8,57E+07;2,14E+07;0.05641;0.655
Case 577;31.33;44.44;8.017;2662;1.08e+004;8654;8,67E+07;2,14E+07;0.05623;0.6558
Case 578;31.33;44.44;9.344;2661;1.08e+004;8492;8,77E+07;2.14e+004;0.05604;0.6565
Case 579;31.33;44.44;10.67;2660;1.08e+004;8332;8,87E+07;2,14E+07;0.05586;0.6573
Case 580;31.33;44.44;12;2658;1.08e+004;8171;8,97E+07;2,15E+07;0.05568;0.6581
Case 581;31.33;47.22;0.05;2675;1.08e+004;9630;8,06E+07;2,12E+07;0.05765;0.6502
Case 582;31.33;47.22;1.378;2674;1.08e+004;9466;8,16E+07;2,12E+07;0.05749;0.6509
Case 583;31.33;47.22;2.706;2672;1.08e+004;9303;8.26e+004;2,13E+07;0.05732;0.6516
Case 584;31.33;47.22;4.033;2671;1.08e+004;9140;8.36e+004;2,13E+07;0.05715;0.6523
Case 585;31.33;47.22;5.361;2670;1.08e+004;8978;8.46e+004;2,13E+07;0.05697;0.653
Case 586;31.33;47.22;6.689;2669;1.08e+004;8816;8.56e+004;2,13E+07;0.05679;0.6537
Case 587;31.33;47.22;8.017;2667;1.08e+004;8655;8.66e+004;2,14E+07;0.05661;0.6545
Case 588;31.33;47.22;9.344;2666;1.08e+004;8494;8.76e+004;2.14e+004;0.05643;0.6553
Case 589;31.33;47.22;10.67;2665;1.08e+004;8333;8.86e+004;2,14E+07;0.05625;0.656
Case 590;31.33;47.22;12;2664;1.08e+004;8173;8.96e+004;2,15E+07;0.05607;0.6568
Case 591;31.33;50;0.05;2680;1.08e+004;9630;8,05E+07;2,12E+07;0.05804;0.649
Case 592;31.33;50;1.378;2679;1.08e+004;9467;8,15E+07;2,12E+07;0.05788;0.6497
Case 593;31.33;50;2.706;2678;1.08e+004;9304;8,25E+07;2,13E+07;0.05771;0.6503
Case 594;31.33;50;4.033;2676;1.08e+004;9141;8,35E+07;2,13E+07;0.05754;0.651
Case 595;31.33;50;5.361;2675;1.08e+004;8979;8,45E+07;2,13E+07;0.05736;0.6517
Case 596;31.33;50;6.689;2674;1.08e+004;8817;8,55E+07;2,13E+07;0.05719;0.6525
Case 597;31.33;50;8.017;2673;1.08e+004;8656;8,65E+07;2,14E+07;0.05701;0.6532
Case 598;31.33;50;9.344;2671;1.08e+004;8495;8,75E+07;2,14E+07;0.05683;0.654
Case 599;31.33;50;10.67;2670;1.08e+004;8334;8,85E+07;2,14E+07;0.05664;0.6547
Case 600;31.33;50;12;2669;1.08e+004;8174;8,95E+07;2,14E+07;0.05647;0.6555
Case 601;34;25;0.05;2633;1.08e+004;9554;8,18E+07;2,12E+07;0.05507;0.6583
Case 602;34;25;1.378;2632;1.08e+004;9389;8,28E+07;2,12E+07;0.05494;0.6589
Case 603;34;25;2.706;2631;1.08e+004;9224;8,38E+07;2,13E+07;0.05478;0.6595
Case 604;34;25;4.033;2630;1.08e+004;9060;8,48E+07;2.13e+004;0.05462;0.6603
Case 605;34;25;5.361;2629;1.08e+004;8897;8.58e+004;2,13E+07;0.05444;0.6611
Case 606;34;25;6.689;2627;1.08e+004;8734;8.68e+004;2,14E+07;0.05425;0.6619
Case 607;34;25;8.017;2626;1,08E+07;8571;8.78e+004;2,14E+07;0.05406;0.6628
Case 608;34;25;9.344;2625;1,08E+07;8409;8.88e+004;2,14E+07;0.05387;0.6636
Case 609;34;25;10.67;2624;1,08E+07;8247;8.98e+004;2,15E+07;0.05367;0.6645
Case 610;34;25;12;2622;1,08E+07;8086;9.08e+004;2,15E+07;0.05347;0.6654
Case 611;34;27.78;0.05;2638;1.08e+004;9554;8,17E+07;2,12E+07;0.05546;0.6569
Case 612;34;27.78;1.378;2637;1.08e+004;9389;8,27E+07;2,12E+07;0.05532;0.6576
Case 613;34;27.78;2.706;2636;1.08e+004;9225;8,37E+07;2,13E+07;0.05516;0.6583
Case 614;34;27.78;4.033;2635;1.08e+004;9061;8,47E+07;2.13e+004;0.05498;0.659
Case 615;34;27.78;5.361;2634;1.08e+004;8898;8,57E+07;2,13E+07;0.0548;0.6598
