State;FCC-100 - Weight % Zeolite (A/F-3);FCC-100 - Weight % Alumina (A/F-3);FCC-100 - Weight % Rare Earth (A/F-3);FCC-100 - Yield, Std Cut Detailed (H2S-Mass Flow);FCC-100 - Yield, Std Cut Detailed (Coke-Mass Flow);FCC-100 - Yield, Std Cut Grouped (Fuel Gas-Mass Flow);FCC-100 - Yield, Std Cut Grouped (Naphtha C5-430F-Mass Flow);FCC-100 - Yield, Std Cut Grouped (LCO 430-650F-Mass Flow);FCC-100 - Regen Coke on Regen Catalyst (Regenerator);FCC-100 - Regen Coke on Spent Cat (Regenerator)
;;;;kg/h;kg/h;kg/h;kg/h;kg/h;%;%
Case 986;42;47.22;6.689;2671;1,08E+07;8521;8,68E+07;2,12E+07;0.05872;0.6459
Case 987;42;47.22;8.017;2669;1,08E+07;8359;8,78E+07;2,12E+07;0.05852;0.6467
Case 988;42;47.22;9.344;2668;1,08E+07;8198;8,88E+07;2,13E+07;0.05833;0.6474
Case 989;42;47.22;10.67;2667;1,08E+07;8038;8,98E+07;2,13E+07;0.05814;0.6482
Case 990;42;47.22;12;2665;1.08e+004;7878;9,08E+07;2,13E+07;0.05795;0.6489
Case 991;42;50;0.05;2682;1,08E+07;9333;8,17E+07;2,11E+07;0.06011;0.6409
Case 992;42;50;1.378;2681;1,08E+07;9170;8,27E+07;2,11E+07;0.05992;0.6416
Case 993;42;50;2.706;2680;1,08E+07;9007;8,37E+07;2,11E+07;0.05972;0.6424
Case 994;42;50;4.033;2678;1,08E+07;8845;8,47E+07;2,12E+07;0.05952;0.6431
Case 995;42;50;5.361;2677;1,08E+07;8683;8,57E+07;2,12E+07;0.05932;0.6439
Case 996;42;50;6.689;2676;1,08E+07;8522;8,67E+07;2,12E+07;0.05913;0.6446
Case 997;42;50;8.017;2674;1,08E+07;8361;8,77E+07;2,12E+07;0.05893;0.6454
Case 998;42;50;9.344;2673;1,08E+07;8200;8,87E+07;2,13E+07;0.05874;0.6461
Case 999;42;50;10.67;2672;1,08E+07;8039;8,97E+07;2,13E+07;0.05856;0.6469
Case 1000;42;50;12;2671;1,08E+07;7879;9,07E+07;2.13e+004;0.05838;0.6476
